from,to,weight,relation,participation,count
MikeWiL,Unap,1,1,1,1
Mikke,Loud,3,1,3,3
Mikke,Talk,3,1,3,3
Mikke,Unap,3,1,3,3
Mikky,Unap,1,3,1,1
MiNe,Huma,1,1,1,1
Mios,Mpcl,1,1,1,1
MiRo,HaSt,5,1,7,9
Mikke,ToIA,1,1,1,1
Mitchum,DooW,3,1,1,2
Mlay,ToIA,1,1,1,2
MLBr,LYST,1,1,1,1
MNEK,LYST,1,1,1,1
MStB,Revi,1,1,1,1
Mstr,Revi,1,1,1,1
MikeWiL,Kami,1,1,1,2
MikeWiL,DAMN,3,1,3,3
MyWi,Revi,1,1,1,1
NaPa,DAMN,1,1,1,1
Nas,ThaC,1,3,1,2
Nasr,Unde,1,1,1,2
Nasr,Beli,3,1,3,3
NateR,TheT,1,3,1,1
NathanC,Unap,1,1,1,1
NedW,Merr,1,1,1,1
Need,DooW,1,1,1,1
NeYo,Unap,1,1,1,1
Nial,UpAl,3,2,3,3
Nial,Take,1,2,1,2
NiMi,Loud,1,3,1,1
NiMi,Beli,1,1,1,1
NickMo,19by,1,1,1,1
NickTu,Unde,1,1,1,1
NickyR,Unap,1,1,1,1
NiDu,divi,1,1,1,1
NiMi,LYSA,1,3,1,1
Nius,Beli,1,1,1,1
NoAo,Kami,1,1,1,1
NoCo,LYSA,1,1,1,1
NoCo,LYST,1,1,1,1
NoI.D.,Talk,1,1,1,1
NoI.D.,Unap,1,1,1,1
OAK,Unap,1,1,1,1
Oliv,Talk,1,1,1,1
OnCu,Revi,1,1,1,1
ONHE,ThaC,1,1,1,1
OrGa,LYST,1,1,1,1
Orri,Mylo,1,1,1,1
Orvi,ThaC,1,1,1,1
OsHo,repu,1,1,1,1
OsHo,BeTr,1,1,1,1
OZGO,repu,1,1,1,1
P.Did,Talk,1,1,1,1
PaBe,DAMN,1,1,1,1
Park,Unap,1,1,1,1
PaRo,Kami,1,1,1,1
PaRo,Revi,1,1,1,1
PatrickJQ,Beli,1,1,1,1
PatrickPe,DooW,1,1,1,1
PatrickSt,DooW,1,1,1,1
PaulEp,21by,3,1,3,3
PaulMe,UpAl,1,1,1,1
PDBu,Mpcl,1,1,1,1
PDog,LYSA,3,1,7,14
PDog,LYST,3,1,5,6
PeMo,DAMN,1,1,1,1
Penn,BornTo,1,1,1,1
PeterAl,Mylo,1,1,1,1
PeterSv,Take,1,1,1,1
PeterWa,Take,1,1,1,1
PeUg,DAMN,1,1,1,1
PhilipS,Christ,1,1,1,1
PhLa,DooW,5,1,7,10
PhilSp,Christ,1,1,1,1
PhLa,DAMN,1,1,1,1
PhLa,KMag,7,1,7,9
PiJo,Mpcl,3,1,3,3
Pink,TheT,5,2,7,12
Pink,BeTr,7,2,7,13
PJTe,DAMN,1,1,1,1
Plus,Kami,1,1,1,1
Plus,DAMN,1,1,1,1
PMD,Revi,1,1,1,1
PoBe,ToIA,1,1,1,1
Polo,Loud,1,1,1,1
Polo,ThaC,1,1,1,1
PopW,Unap,1,1,1,1
Porc,UpAl,1,1,1,1
Porl,21by,1,1,1,1
Pris,Loud,1,1,1,1
Pris,Talk,1,1,1,1
PYLe,Mpcl,1,1,1,1
RABO,DAMN,1,1,1,1
RaCh,KMag,3,1,1,2
RalphB,Christ,1,1,1,1
RalphB,Merr,1,1,1,1
Rami,UpAl,3,1,3,3
Rami,Take,3,1,5,6
Ranc,ToIA,1,1,1,1
RaRo,KMag,3,1,1,2
RayE,Christ,1,1,1,1
RedO,BornTh,3,1,3,3
RedO,UpAl,1,1,1,1
ReRu,DAMN,1,1,1,1
ReRu,Revi,1,1,1,1
ReSp,Revi,1,1,1,1
RichardB,Christ,1,1,1,1
Rick,DAMN,1,1,1,1
Rick,Revi,1,1,1,1
RickCu,ThaC,1,1,1,1
RickNo,BornTo,1,1,1,2
RickRo,ThaC,1,3,1,1
RiFa,repu,1,1,1,1
Riha,Talk,3,2,3,4
Riha,Unap,5,2,7,12
Riha,DAMN,1,3,1,1
RiRI,DAMN,1,1,1,2
Rive,Loud,1,1,1,1
RiWe,ToIA,1,1,1,1
RM,LYSA,5,2,7,21
RM,LYST,7,2,7,11
RMDJ,LYSA,1,1,3,4
RnBM,Huma,7,2,7,12
RNUF,Revi,1,1,1,1
RobertBu,Merr,1,1,1,1
RobertSm,21by,1,1,1,1
RobertWe,Unde,1,1,1,1
RobHo,ThaC,1,1,1,1
RobSw,Talk,1,1,1,1
RoCa,LYSA,1,1,3,3
RoCa,LYST,1,1,1,1
Rodn,Beli,1,1,1,2
RodS,Merr,1,2,1,1
RoFr,BeTr,1,1,1,1
Roge,21by,1,1,1,1
Ross,BeTr,1,1,1,1
RoKB,ToIA,1,1,1,1
RoMa,repu,1,1,1,1
Romy,Talk,1,1,1,1
RonJ,Kami,1,1,1,2
RoSM,ToIA,1,1,1,1
RoSp,LYSA,1,1,1,1
RoSp,LYST,1,1,1,1
Ross,Beli,1,1,1,1
RoTr,Kami,1,1,1,1
Royc,Kami,1,3,1,1
RyTe,21by,1,1,1,2
RyLe,TGrS,1,1,1,2
RyNa,HaSt,5,1,5,7
RyTe,divi,1,1,1,1
Sach,19by,1,1,1,1
SaDe,BeTr,1,1,1,1
SaHa,LYSA,1,1,1,1
Sain,DooW,1,1,1,1
SaKl,LYSA,1,1,1,1
SAKP,Loud,1,1,1,1
SaDe,Unap,1,1,1,1
SamH,Revi,1,1,1,1
SamHo,Take,1,1,1,1
SammyC,Merr,1,1,1,1
SamS,ToIA,7,2,7,10
Sand,Loud,1,1,1,2
Sava,UpAl,3,1,3,5
Sava,Take,3,1,5,6
Sava,Beli,1,1,1,1
SBoi,LYSA,3,1,7,9
SBoi,LYST,1,1,1,1
Scho,Revi,1,1,1,1
ScJo,Revi,1,1,1,1
Scot,Loud,1,1,1,1
Shel,Redb,1,1,3,3
Shel,Take,1,1,1,2
Shel,TheT,1,1,1,1
Shel,repu,3,1,7,9
Shel,BeTr,3,1,3,3
Shep,UpAl,1,1,1,1
Shon,Loud,1,1,1,1
Shyn,ThaC,1,3,1,1
Sia,Unap,1,1,1,1
SiAl,Huma,1,1,1,2
SiMa,DAMN,1,1,1,1
SimonGa,21by,1,1,1,1
SirN,Beli,1,1,1,2
SJKy,LYST,1,1,1,1
SkGr,Revi,3,1,3,4
Skyl,Loud,1,1,1,1
SMSu,LYSA,1,1,1,1
SMSu,LYST,1,1,1,1
Sniz,ThaC,1,1,1,1
SoFL,Beli,1,1,1,1
Sone,Kami,1,1,1,2
Sosa,LYSA,1,1,3,4
Sosa,LYST,1,1,1,2
Soun,Loud,1,1,1,1
Soun,DAMN,3,1,5,8
SRab,LYSA,3,1,5,6
SRab,LYST,1,1,1,1
Stac,Loud,1,1,1,1
StAn,MMia,3,1,3,9
StEa,divi,1,1,1,1
StephenHa,ThaC,1,1,1,1
SteveDa,TheT,1,1,1,1
SteveMa,UpAl,1,1,1,1
SteveNe,Christ,1,1,1,1
SteveRo,UpAl,1,1,1,2
SteveRo,Take,1,1,1,1
SteveWy,Talk,1,1,1,1
SteveWy,Unap,1,1,1,1
StGr,divi,1,1,1,1
StLa,DAMN,1,1,1,1
SteveMa,divi,1,1,1,1
SteveMa,BeTr,1,1,1,1
SUGA,LYSA,3,2,7,11
SUGA,LYST,5,2,5,8
Supa,DooW,3,1,1,2
SwAl,Kami,1,1,1,1
TaKe,Kami,1,1,1,1
Tayl,repu,7,2,7,15
Tayl,Redb,7,2,7,16
Tebe,Take,1,1,1,1
Tech,ThaC,1,3,1,1
Tedd,UpAl,1,1,1,1
TedD,Babe,7,2,7,12
TorE,ToIA,1,1,1,1
TeMa,DAMN,1,1,1,1
TeWa,DAMN,1,1,1,2
TheAl,DAMN,1,1,1,1
ThBr,Revi,1,1,1,1
TheAl,ThaC,1,1,1,1
TheDr,Unap,3,1,3,4
TheNo,Talk,1,1,1,1
Ther,Loud,1,1,1,2
Ther,Unap,1,1,1,1
TiGo,Kami,1,1,1,1
TiJa,Revi,1,1,1,1
Timb,ToIA,1,1,1,1
TimLa,BornTo,1,1,1,2
TimMi,Unde,1,1,1,1
TimothyT,Loud,1,1,1,2
TimothyT,Unap,1,1,1,1
TIPu,Huma,1,1,1,2
TiSu,Kami,1,1,1,1
TJJr,BeTr,1,1,1,1
TLJr,Revi,1,1,1,1
TLJr,KMag,1,1,1,1
TMin,ThaC,1,1,1,1
TobyG,UpAl,1,1,1,1
ToCh,Revi,1,1,1,1
ToDa,Kami,1,1,1,1
ToDa,DAMN,3,1,5,7
TomFl,UpAl,1,1,1,1
TomFl,Take,1,1,1,1
TomMe,UpAl,1,1,1,1
TommyLe,Take,1,1,1,1
TommyP.G,Take,1,1,1,1
TommyPa,Beli,1,1,1,1
Tony,Christ,1,1,1,1
TorE,Loud,3,1,3,3
TorE,Talk,3,1,3,3
TorE,Unap,3,1,3,3
ToSt,Revi,1,1,1,1
TPai,ThaC,1,3,1,1
TPai,KMag,1,1,1,1
Trac,Loud,1,1,1,1
Trav,Beli,1,1,1,1
Tric,Unde,1,1,1,1
Tric,Loud,1,1,1,1
TTHa,divi,1,1,1,1
TyJo,ToIA,1,1,1,2
TyJo,HaSt,7,1,7,10
TyKe,Revi,1,1,1,1
Ursu,Loud,1,1,1,1
WalterAf,Christ,1,1,1,1
WalterAf,Unde,1,1,1,1
WalterKe,Christ,1,1,1,1
WalterRo,Christ,1,1,1,1
Wayn,UpAl,1,1,1,2
Wayn,Take,1,1,1,1
WillCh,Mylo,5,2,7,14
WilliamAt,ThaC,1,1,1,1
WillyWi,ThaC,3,1,3,3
Wins,Babe,7,2,7,12
Wond,DAMN,1,1,1,1
YEBB,ToIA,1,3,1,1
Yode,Mpcl,3,1,3,4
