id,name,type,sex,origin,genre,language,year,tracks,second year
Bird,Birdman,1,2,2,99,99,99,99,99
BJKh,BJ Khan,1,99,99,99,99,99,99,99
BjUl,Björn Ulvaeus,1,2,9,99,99,99,99,99
black,blackbear,1,2,2,99,99,99,99,99
Blac,Blackstar by David Bowie,2,55,55,5,1,2017,7,55
Bloo,BloodPop,1,2,2,99,99,99,99,99
Bloods,Bloodshy,1,2,9,99,99,99,99,99
BluJ,Blu June,1,1,2,99,99,99,99,99
BlueB,Blue Bear,1,2,1,99,99,99,99,99
Blue,Blue u Lonesome by The Rolling Stones,2,55,55,14,1,2016,12,55
Blur,Blurryface by Twenty One Pilots,2,55,55,5,1,2016,14,55
Blyt,Blythe Pepino,1,1,99,99,99,99,99,99
BobBh,Bob Bharma,1,2,1,99,99,99,99,99
BobDy,Bob Dylan,1,2,2,99,99,99,99,99
BobRo,Bob Rock,1,2,7,99,99,99,99,99
Bobb,Bobby Chung,1,2,10,99,99,99,99,99
Bobc,Bobcat,1,2,2,99,99,99,99,99
Bohe,Bohemian Rhapsody: The Original Soundtrack by Queen,2,55,55,4,1,2018,21,2019
Boi1,Boi-1da,1,2,10,99,99,99,99,99
BONN,BONN,1,2,9,99,99,99,99,99
BonnieM,Bonnie McKee,1,1,2,99,99,99,99,99
Bono,Bono,1,2,10,99,99,99,99,99
BOOT,BOOTS,1,2,2,99,99,99,99,99
BoLa,Boris Lanneau,1,2,5,99,99,99,99,99
Bori,Boris Williams,1,2,5,99,99,99,99,99
BornTh,Born This Way by Lady Gaga,2,55,55,1,1,2011,14,55
BornTo,Born To Die by Lana Del Rey,2,55,55,1,1,2012,12,55
Brad,Bradley Cooper,1,2,2,99,99,99,99,99
Bram,Bram Inscore,1,2,2,99,99,99,99,99
Brand,"Brandon ""Blue"" Hamilton",1,2,2,99,99,99,99,99
Brando,Brandon Green,1,2,2,99,99,99,99,99
Bran,Brandy,1,1,2,99,99,99,99,99
BrGr,Brendan Grieve,1,2,1,99,99,99,99,99
Bren,Brendon Urie,1,2,2,99,99,99,99,99
Bret,Brett James,1,2,99,99,99,99,99,99
Brian,Brian Alexander Morgan,1,2,2,99,99,99,99,99
Bria,Brian Chase,1,2,2,99,99,99,99,99
BrianEn,Brian Eno,1,2,1,99,99,99,99,99
BrianKe,Brian Kennedy,1,2,2,99,99,99,99,99
BrianLe,Brian Lee,1,2,2,99,99,99,99,99
BrianMa,Brian Malik Baptiste,1,2,2,99,99,99,99,99
BrianM,Brian May,1,2,1,99,99,99,99,99
BrianS,Brian Soko,1,2,10,99,99,99,99,99
BrianW,Brian West,1,2,7,99,99,99,99,99
Brit,Brittany Coney,1,1,2,99,99,99,99,99
BrittanyT,Brittany Tolman,1,1,99,99,99,99,99,99
Broc,Brock Korsan,1,2,99,99,99,99,99,99
BrBr,Brody Brown,1,2,2,99,99,99,99,99
Bruc,Bruce Springsteen,1,2,2,99,99,99,99,99
BrMa,Bruno Mars,1,2,2,99,99,99,99,99
BryanAd,Bryan Adams,1,2,7,99,99,99,99,99
Brya,Bryan-Michael Cox,1,2,2,99,99,99,99,99
Buck,Buck Ram,1,2,2,99,99,99,99,99
Budd,Buddy Johnson,1,2,2,99,99,99,99,99
